,proverb,translation,
13,"அகப்பை பிடித்தவன் தன்னவனானால், அடிப்பந்தியில் இருந்தாலென்ன, கடைப்பந்தியில் இருந்தாலென்ன?","If he who has the ladle be one’s own servant, what matters it whether one be seated first or last at the feast?The Agappai—ladle—here referred to is made of a piece of cocoanut shell with a suitable wooden handle. The shell being very hard and not porous is well suited for the purposes of a spoon or ladle. It is easily cleaned, and well adapted for earthen cooking vessels. It may be seen in every cooking room or shed throughout the Tamil country.",
14,அகம் ஏறச் சுகம் ஏறும்.,"As grain becomes cheaper, enjoyment increases.",
15,"அகம் மலிந்தால் அஞ்சும் மலியும், அகம் குறைந்தால் அஞ்சும் குறையும்.","If grain abound, the five also will abound; if grain be scarce, the five will be so.",
16,"அகம் மலிந்தால் அஞ்சும் மலியும், அகம் குறைந்தால் அஞ்சும் குறையும்.","If grain abounds, all things abound, if grain he scarce, all things are scarce.",
17,"அகல இருந்தால் நீள உறவு, கிட்ட இருந்தால் முட்டப் பகை.","If apart, long friendship, if together, the least touch will provoke hatred.",
18,அகல இருந்தால்ப் பகையும் உறவாம்.,"When apart, even enmity becomes friendship.",
19,அகல இருந்தாலப் புகல உறவு.,Separation secures manifest friendship.,
20,அகலவட்டம் பகல் மழை.,A large halo—a rainy day.,
21,அகவிலை அறியாதவன் துக்கம் அறியான்.,"He who knows not the price of grain, knows not sorrow.",
22,அகழிலே விழுந்த முதலைக்கு அதுவே வைகுண்டம்.,The most into which the alligator has plunged is to itself Vaikundam. (Paradise.),
23,அகா நாக்காய்ப் பேசுகிறான்.,He speaks glibly.,
24,அகிர்த்தியம் செய்கிறவன் முகத்தில் விழிக்கிறதா?,Is it to see the face of one who acts improperly?,
25,அகோர தபசி விபரீத சோரன்.,"A terrible ascetic, an atrocious cheat.",
26,"அகோர தபசி, விபரீத நிபுணன்.","In austerity, severe; in perversity, an adept.Prone to extremes.",
27,அக்கரை மாட்டுக்கு இக்கரை பச்சை.,Green pasture on this shore for the cattle on that.,
28,"அக்காடு வெட்டிப் பருத்தி விதைக்கிறேன் என்றால், அப்பா எனக்கொரு துப்பட்டி என்கிறான் பிள்ளை.","If I say that I am about to clear away the jungle to sow cotton seed, my child exclaims, O father, give me a cloth.Sanguine and very anticipatory.",
29,"அக்காடு வெட்டிப் பருத்தி விதைத்தால், அப்பா முழச்சிற்றாடை என்கிறதாம் பெண்.","If I clear away the jungle and sow cotton seed, it is said that the girl exclaimed, O father, a cubit of cloth.",
30,அக்காள் இருக்கிறவரையில் மச்சான் உறவு.,The friendship of a brother-in-law lasts while one's sister lives.,
31,"அக்காள் உண்டானால், மச்சான் உண்டு.","If one has a sister, he may have a brother-in-law.",
32,"அக்காள் உடைமை அரிசி, தங்கைச்சி உடைமை தவிடா?","Is the property of the elder sister rice, and that of the younger bran?Said of one who is extremely chary about his own property, and indifferent about that of another.",
33,அக்காள் உறவும் மச்சான் பகையுமா?,"Whilst cherishing friendship for the sister, are you at enmity with the brother-in-law?",
34,"அக்காளைக் கொண்டால், தங்கையை முறை கேட்பானேன்?","Having taken in marriage the elder sister, why inquire after the rank of the younger?",
35,அக்காளைப் பழித்துத் தங்கை அபசாரியானாள்.,"Having reproached her elder sister, the younger played the harlot.",
36,"அக்காள்தான் கூடப்பிறந்தாள், மச்சானும் கூடப்பிறந்தானா?",My sister was indeed born of the same mother: was my brother-in-law also?,
37,"அக்கிராரத்தில் பிறந்தாலும், நாய் வேதம் அறியுமா?","Will a dog understand the Vedas, although born in a Brahman village?",
38,"அக்கிராரத்துக்கு ஒரு ஆடு வந்தால், ஆளுக்கு ஒரு மயிர்.","Should a sheep come into a Brahman village, each person will get but a hair.After a sheep has been sacrificed in a Brahmanical village and the carcass consumed, the Brahmans may use the hair when performing púja; this interpretation is disputed.",
39,அக்கிராரத்து நாய் பிரதிஷ்டைக்கு விரும்பினதுபோல.,As a dog longed for the consecrated things of a Brahman village.Said when great expectations are entertained of something that is likely to prove illusory: an amusing story is told about this proverb.,
40,அக்கினி மலைமேல் கர்ப்பூரபாணம் பிரயோகித்ததுபோல.,"As one discharged a camphor arrow at a burning mountain.Spoken of an act done to injure another, fruitless or inadequate, and possibly destructive of the means employed.",
41,அக்கினி தேவனுக்கு அபிஷேகம் செய்ததுபோல் இருக்கிறான்.,"He is as if a libation had been poured out to the god of fire.Used of one naturally very black, who on hearing the proverb if he understands its purport, is of course very angry. When water is poured on burning charcoal the cinders appear exceedingly black. The intended reflection is not the less insulting because of the complimentary way in which it is conveyed.",
42,அக்கினியாற் சுட்ட புண் விஷமிக்காது.,A cauterized wound will not fester much.,
43,அக்குத்தொக்கு இல்லாதவனுக்குத் துக்கம் என்ன?,Whence sorrow to him who has no connections?Said of one who is so obscure and isolated as to have no one whose griefs he can share or assuage.,
44,அங்கத்தை ஆற்றில் அலைசொணாதா?,Is it improper to bathe in a river?,
45,"அங்கத்தைக் கொண்டுபோய் ஆற்றில் அலைசினாலும், தோஷம் இல்லை.","Although he take his body and wash it in the river, no fault will be found.",
46,அங்கத்தைக் கொன்று ஆற்றில் சேர்க்கவொண்ணாது.,A body that has been deprived of life (murdered) may not be put into a river.,
47,"அங்காங்கு வைபோகமாயிருக்கிறான், இங்கே பார்த்தால் அரைக்காசு முதலும் இல்லை.","He is seen everywhere enjoying himself: when looked at in his homestead, he is not worth half a cash.Said of one who, when out, affects to be well off, whereas he has nothing at all to depend upon.The word (காசு) Cash, is used for several kinds of coin, also for money.",
48,அங்காடி விலையை அதிர அடிக்காதே.,Do not beat down the market price.Do not contravene the established opinions and practices of the people with whom you are associated.,
49,"அங்காடிக்காரியைச் சங்கீதம் பாடச்சொன்னால், வெங்காயம் கருவேப்பிலை என்பாள்.","If a song be demanded of a woman going along with her market basket, she will exclaim venkaiyam, karuvéppilai, (Onions, curry leaves.)",
50,"அங்கிடுதொடுப்பிக்கு அங்கிரண்டு குட்டு, இங்கிரண்டு சொட்டு.",One who frequently changes his party will receive two slaps here and three cuffs there.,
51,அங்கும் தப்பி இங்கும் தப்பி அகப்பட்டுக்கொண்டான் தும்மட்டிப்பான்.,"Tummattippattan, who had escaped here and there, was caught.Referring to the adventures of a sorcerer.",
52,"அங்கும் இருப்பான் இங்கும் இருப்பான், ஆக்கின சோற்றுக்குப் பங்கும் இருப்பான்.",He is here and there and has a share also in the boiled rice.,
53,"அங்கேண்டி மகளே கஞ்சிக்கு அழுகிறாய்? இங்கே வந்தால், காற்றாய்ப் பறக்கலாம்.","Why, my daughter, are you crying there for kanji? come hither and you may fly as the wind.Spoken of a proffered change which may be for the worse.",
54,"அசல் வாழ்ந்தால், ஐந்து நாள் பட்டினி கிடப்பாள்.","If her neighbour prospers, she will starve herself for five days.",
55,அசல் வீடு வாழ்ந்தால் பரதேசம் போகிறதா?,"Is one to go to a foreign country, because his neighbour prospers?",
56,அசலும் பிசலும் அறியாமல் அடுத்தவனைக் கெடுக்கப் பார்க்கிறான்.,"Regardless of circumstances, he aims to destroy his neighbour.",
57,அசவாப் பயிரும் கண்டதே உறவும்.,Stunted grain—friendship at sight.Both valueless.,
58,"அசைந்து தின்கிறது மாடு, அசையாமல் தின்கிறது வீடு.",A cow eats moving; a house eats standing.,
59,அச்சம் இல்லாதவன் அம்பலம் ஏறுவான்.,The fearless goes into the assembly.Used of those who have more courage than discretion.,
60,அச்சாணி இல்லாத தேர் முச்சாணும் ஓடாது.,"A car without a linch-pin will not move even three spans.Intimating that appliances however trivial cannot be disposed with, and that the best instruments and weapons require due management.",
61,"அச்சிக்குப் போனாலும், அகப்பை அரைக்காசு.","Though taken to Achchi, a wooden ladle will fetch only half a cash.Achchi being a prosperous place, cooking utensils are there in great demand, yet even there this inferior article will bring no more than its value.Spoken of the intrinsic value of a thing.",
62,அச்சியிலும் பிச்சைக்காரர் உண்டு.,There are beggars even in Achchi.See the preceding proverb.,
63,அச்சனக்காரன் முதுகில் வஞ்சனைக்காரன் ஏறினான்.,The cheat has got on the shoulders of the conjurer.Said when one deceiver has got the better of another.,
64,அஞ்சலிவந்தனம் ஆருக்கும் நன்மை.,Deferential respect is agreeable to every one.,
65,அஞ்சா நெஞ்சு படைத்தால் ஆருக்கு ஆவான்?,Who will tolerate a presumptuous or impudent man?,
66,அஞ்சாவது பெண் கெஞ்சினாலும் கிடையாது.,"A fifth born female cannot be obtained though earnestly sought.A fifth born female is regarded as the special favourite of fortune; an eighth,—as the very opposite.",
67,அஞ்சிலே வளையாதது ஐம்பதிலே வளையுமா?,"Will that which was not bent at five, bend at fifty?",
68,அஞ்சினவனை குஞ்சும் வெருட்டும்.,Even a fledgeling may scare the timid.,
69,அஞ்சில் அறியாதவன் ஐம்பதில் அறிவானா?,"Will one ignorant at five understand at fifty?Early instruction essential to future knowledge. The proverb may also suggest that growth in years will not make one, that is naturally dull, bright.",
70,அஞ்சினவனைப் பேய் அடிக்கும்.,Demons strike the timid.,
71,அஞ்சி ஆண்மை செய்.,"Act manfully, but modestly.",
72,"அஞ்சினாரை கெஞ்சுவிக்கும், அடித்தாரை வாழ்விக்கும்.",Those who were once feared may be made to beg; and they who were once oppressed may be made prosperous.,
73,அஞ்சினவன் கண்ணுக்கு ஆகாயமெல்லாம் பேய்.,To the timid the sky is full of demons.,
74,"அஞ்சு காசுக்குக் குதிரையும் வேண்டும், அதுவும் ஆற்றைக் கடக்கப் பாயவும் வேண்டும்.","A horse is required for five cash, and he must be able to leap over a river.Used in derision when great results are expected from inadequate means.",
75,அஞ்சு குஞ்சும் கறியாமே? அறியாப் பெண்ணும் பெண்டாமோ?,Are five young birds a curry? Is a young girl a wife?,
76,அஞ்சுக்கு இரண்டு பழுதில்லை.,"Of the five senses two are uninjured.Used with reference to some, of several desiderated objects that have been accomplished, or of some things that remain uninjured.",
77,"அஞ்சு பணம் கொடுத்தாலும், இத்தனை ஆத்திரம் ஆகாது.","Even if you were to give away five fanams, such haste or precipitation will not do.Precipitance in judgment is worse than actual loss.",
78,"அஞ்சும் மூன்றும் உண்டானால், அறியாப் பெண்ணும் கறி சமைக்கும்.","If possessed of five and three, even a young girl may make a curry.The five are acid, pepper, salt, mustard, and cumin; the three, are water, fuel and fire.This proverb is used by a man when his wife has prepared a curry that does not please him.",
79,அஞ்சுருத்தாலி நெஞ்சுருவக் கட்டிக்கொண்டு வந்தாற்போல் வலக்காரமாய்ப் பேசுகிறாய்.,"Thou speakest ostentatiously as a matron who has come having her bosom adorned with a táli ornamented with five figures.The táli is a marriage symbol used as a wedding ring is in Europe. Various astrological observances attend the melting of the gold &c. The five forms referred to are the five weapons of Vishnu. Viz. the discus, the club, the conch, the bow and the sword.The Romanists ornament the táli with the figure of a dove.",
80,அஞ்சு வயது ஆண்பிள்ளைக்கு ஐம்பது வயதுப் பெண் கால் முடக்கவேண்டும்.,A woman of fifty must bend the knee before a boy of five.Referring to the deference paid to the male sex by the Hindus.,
81,அஞ்சுவோரைக் கெஞ்சடிக்கப் பார்க்கிறான்.,He aims to humble the timid by force.,
82,"அஞ்சூர்ச்சண்டை சுண்டாங்கி, ஐங்கல அரிசி ஒரு கவளம்.","Conflict in five villages is but curry, five maracals of rice is only a mouthful.Spoken of one who delights in the misfortunes of others.",
83,அஞ்செழுத்தும் பாவனையும் அவனைப்போல் இருக்கிறது.,The five letters and the sentiment are like him.Spoken of a child who in feature and disposition resembles its father.,
84,அடக்கத்துப் பெண்ணுக்கு அழகேன்?,Of what use is beauty to a damsel living in retirement?,
85,"அடக்கமுடையார் அறிஞர், அடங்காதார் கல்லார்.",The well-ordered are wise; the disorderly are fools.,
86,அடக்கமே பெண்ணுக்கு அழகு.,Modesty is the ornament of a woman.The proverb may be used of moderation generally and self-restraint.,
87,அடங்குவாரற்ற கழுக்காணியும் கொட்டுவாரற்ற மேளமுமாய்த் திரிகிறான்.,A dwarf without restraint—an unused tomtom-—he wanders about.Used of one irrecoverably worthless.,
88,அடங்காத பாம்பிற்கு ராஜா மூங்கில்த்தடி.,A bamboo staff is the king of a vicious snake.,
89,அடங்காத பெண்சாதியினாலே அத்தைக்கும் நமக்கும் பொல்லாப்பு.,A disobedient wife is an evil both to her mother and to one’s self.Spoken of a person inimical alike to two parties.,
90,அடங்காத மனைவியும் ஆங்கார புருஷனும்.,A disobedient wife and a self-willed husband.Said of uncongenial society.,
91,"அடங்கின பிடி பிடிக்கவேண்டும், அடங்காத பிடி பிடிக்கலாகாது.","Seize that which can be grasped, not that which cannot.Aim at the practicable.",
92,அடம்பங்கொடியும் திரண்டால் மிடுக்கு.,Even tender creepers when united are strong.,
93,"அடா என்பான், வெளியே புறப்படான்.","He will speak abusively, but will not come out.",
94,அடாது செய்தவர் படாது படுவார்.,"They who do what they ought not, will suffer what they might have avoided.It serves him right.",
95,அடி அதிரசம் குத்துக் கொழுக்கட்டை.,"A slap is a cake, a cuff is sweetmeat.Spoken of one who is beyond ordinary discipline,",
96,அடி உதவுகிறதுபோல அண்ணன் தம்பி உதவுவார்களா?,Will an elder or younger brother aid one as effectually as discipline or punishment?,
97,அடிக்க அடிக்கப் பந்து விசை கொள்ளும்.,"The more a ball is struck, the more it rebounds.",
98,அடிக்கிற காற்றுக்கும் பெய்கிற மழைக்கும் பயப்படவேண்டும்.,Beware of a beating wind and of falling rain.Beware of things beyond human control.,
99,அடிக்கிற காற்று வெயிலுக்குப் பயன்படுமா?,Does the beating wind fear the sunshine?Spoken of irrelevant means to subdue an evil.,
100,அடிக்கும் காற்றிலே எடுத்துத் தூற்றவேண்டும்.,Winnow while the wind blows.,
101,"அடிக்கும் ஒரு கை, அணைக்கும் ஒரு கை.","One hand smites, the other embraces.Discipline regulated by love; used sometimes of Divine chastisements.",
102,அடிச்சட்டிக்குள்ளே கரணம் போடலாமா?,Can one make a somersault in the bottom of a chatti?,
103,அடித்த ஏருக்கும் குடித்த கூழுக்கும் சரி.,What he received for his labour (ploughing) only paid for the kanji he drank.,
104,அடித்துப் பழுத்ததும் பழமா?,Is that which ripens by force fruit?(A favour done under constraint is no favour.),
105,அடித்துப் பால் புகட்டுகிறதா?,Is a child to be beaten in order to pour milk into its mouth?,
106,அடித்து வளர்க்காத பிள்ளையும் முறுக்கி வளர்க்காத மீசையும் செவ்வையாகா.,"Neither the child that is unchastised, nor the mustache that is untwirled will be right.Implying that due care must be exercised to secure a desiderated result.",
107,"அடித்துவிட்டவன்பின்னே போனாலும், பிடித்துவிட்டவன்பின்னே போகலாகாது.","Though you may trust one who has administered correction, you may not trust one who has betrayed you.",
108,அடிநாக்கிலே நஞ்சும் நுனிநாக்கிலே அமிர்தமுமா?,"What! is it nectar at the tip of the tongue while poison is at the root?Said of one, or to one whose professions are at variance with his intentions.",
109,அடி நொச்சி நுனி ஆமணக்கா?,"Is the stem nochchi, and the top a castor plant?Intimating that the same characteristics will prevail in a family or tribe.",
110,அடிப்பானேன் பிடிப்பானேன்? அடக்குகிற வழியில் அடக்குவோம்.,"Why beat him, why seize him? we will subdue him by proper means.",
111,"அடிமேல் அடி அடித்தால், அம்மியும் நகரும்.",Even a grindstone will move under repeated strokes.,
112,அடிமை படைத்தால் ஆள்வது கடன்.,It is the duty of one who has a slave to employ him.,
113,அடியற்ற பனைபோல் விழுந்தான்.,He fell as a palmira tree severed from its root.So perfect was his prostration. This may be used of obeisance or ruin.,
114,அடியற்ற மரம்போலே.,As a tree without root.,
115,அடியற்றால் நுனி விழாமலிருக்குமா?,"If the root fail, will not the top fall?",
116,அடியா நாடு படியாது.,A province in which authority is not enforced will not submit.,
117,அடியாத மாடு படியாது.,An unchastised bullock will not obey.,
118,அடியிலுள்ளது நடுவுக்கும் முடிவுக்கும் உண்டு.,That which exists in the bottom is likewise in the middle and top.,
119,அடியும் பட்டுப் புளித்த மாங்காயா தின்னவேண்டும்?,"And besides being beaten, must (one) also eat sour mangoes?Spoken of something imposed on one who is already suffering from questionable inflictions.",
120,"அடியென்று அழைக்கப் பெண்டீர் இல்லை, ஆண் எத்தனை பெண் எத்தனை என்கிறதுபோல்.","Like saying to a man how many boys have you, and how many girls, when he has not a wife to whom he can say, Adi.",
121,"அடிவானம் கறுத்தால், ஆண்டை வீடு வறுக்கும்.","If the horizon becomes black, the household of the farmer will begin to parch.",
122,அடுக்களை கிணற்றிலே அமுதம் எழுந்தாற்போல்.,Like the springing up of nectar in a kitchen well.,
123,அடுக்களைக்கு ஒரு பெண்ணும் அம்பலத்துக்கு ஒரு ஆணும் இருக்கிறதென்கிறான்.,"He says, to cook, there is a woman; for outdoor work, a man.Spoken of needful help already at hand.",
124,அடுக்குகிற அருமை தெரியுமா உடைக்கிற நாய்க்கு?,Does the dog that breaks (the cooking pots) know how difficult it is to arrange them?Used when a heedless clumsy person has disarranged or spoiled some cherished work on which great pains had been bestowed.,
125,அடுத்த கூரை வேவுங்கால் தன் கூரைக்கு மோசம்.,When a neighbour's roof is in flames one’s own is in danger.,
126,அடுத்தவனைக் கெடுக்கலாமா?,Is it right to destroy one’s neighbour?,
127,அடுத்தவன் வாழப் பகலே குடி எடுப்பான்.,"Because his neighbour prospers he removes in the day-time i.e., at once.",
128,அடுத்தாரைக் கெடுத்து அன்னம் இட்டாரைக் கன்னம் இடுகிறான்.,He destroys those about him and robs those who fed him.,
129,அடுத்து அடுத்துச் சொன்னால் தொடுத்த காரியம் முடியும்.,"By continually urging, the work undertaken may be completed.",
130,"அடுத்துக் கெடுப்பான் கபடன், தொடுத்துக் கெடுப்பாள் வேசி.","A deceiver destroys when near, a harlot in contact.",
131,அடுத்து வந்தவர்க்கு ஆதரவு சொல்லுவோன் குரு.,He is a teacher or spiritual guide who gives wholesome counsel to those who resort to him.,
132,அடுப்பருகில் வெண்ணெயை வைத்த கதை.,A story about butter being placed near the hearth.,
133,அடுப்புக் கட்டிக்கு அழகு வேண்டுமா?,Is ornamentation requisite in a hearth or fireplace?The needful is sufficient in common things.,
134,அடுப்பு நெருப்பும் போய் வாய்த்தவிடும் போச்சுது.,"No fire in the hearth, no bran in the mouth.",
135,அடுப்பு எரிந்தால் பொரி பொரியும்.,"Should the fire burn, you may parch grain.",
136,அடைந்தோரை ஆதரி.,Take care of those who are under your protection.,
137,அடைப்பை பிடுங்கினால் பாம்பு கடிக்கும்.,A snake will bite him who removes a fence.,
138,அடைமழைக்குள்ளே ஓர் ஆட்டுக்குட்டி செத்ததுபோல.,As a lamb died in heavy rain.Said of one coming to grief from want of due care.,
139,அடைமழை விட்டும் செடிமழை விடவில்லை.,"Though the heavy rain is over, the dropping from the trees continues.Though the greater evils have passed away, the lesser remain. Though the spoiler is not upon us, the ordinary imposts are demanded by men in power.",
140,அட்டமத்துச் சனி கிட்ட வந்ததுபோல.,As Saturn in the eighth sign approached.Some person or thing ominous of evil.,
141,அட்டமத்துச் சனி நட்டம் வரச் செய்யும்.,Saturn in the eighth sign will bring loss.See the preceeding.,
142,"அட்டமத்துச் சனி பிடித்தது, அரைத் துணியும் உரிந்துகொண்டது.","Saturn in the eighth sign seized, and stripped off even the waistcloth.",
143,அட்டமத்துச் சனியை வட்டிக்கு வாங்கினாற்போல.,Like borrowing Saturn in the eighth sign on interest.,
144,"அட்டைக்கும் திருத்தியில்லை, அக்கினிக்கும் திருத்தியில்லை.","The leech is not satisfied, nor is fire.Inordinate desire is never satisfied.",
145,அட்டையைப் பிடித்து மெத்தையில் வைத்ததுபோல.,As a reptile caught and placed on a cushion.Said of a person in an unnatural situation.,
146,அட்டையை எடுத்து மெத்தையில் வைத்தாலும் செத்தையையே நாடும்.,"Although you take a reptile and place it on a cushion, it will seeka heap of dried leaves.",
147,அணில் ஏறவிட்ட நாய் பார்ப்பதுபோல.,As a dog looks up at a squirrel that has ascended and escaped his grasp.A despairing look after a thing irrecoverably lost.,
148,அணிற்பிள்ளைக்கு நுங்கு அரிதோ ? ஆண்டிச்சி பிள்ளைக்குச் சோறு அரிதோ?,"Does the squirrel lack the pulp of the young palmyra fruit, or the child of a Saiva mendicant, rice?To give to religious mendicants is held, by the Hindus generally, to be meritorious.",
149,அணு மகாமேருவாமா ?,"Is an atom the great Meru?The sacred mountain Meru, forming the centre of the seven continents according to the Mythological geography of the Hindus; it appears to mean the highland of Tartary north of the Himálaya,",
150,"அணுவும் மலையாச்சு, மலையும் அணுவாச்சு.","An atom is become a mountain, a mountain an atom.",
151,அணை கடந்த வெள்ளம் அழுதாலும் வருமா ?,"Though one cry after it, will the flood that has burst its bund return?As a premonition, this proverb is used to inculcate caution, and as a remark on misfortune, it suggests the uselessness of regret.",
152,அணை கடந்த வெள்ளத்தை மறிப்பவர் ஆர்?,Who can stop a flood that has burst its bund?Spoken of insuperable evils.,
153,அண்டத்திற்கு உள்ளது பிண்டத்திற்கும் உண்டு.,Whatever exists in the universe exists in the human body.,
154,அண்டத்தில் இல்லாததும் பிண்டத்தில் உண்டா ?,Does that exist in the body which does not exist in the universe?The greater includes the lesser. This and the preceeding proverb really relate to the dialectics of the learned and philosophic schools.,
155,அண்டத்தைச் சுமக்கிறவனுக்குச் சுண்டைக்காய் பாரமா?,Will a fruit be burdensome to Him who bears the universe?Used when some favour is sought of one who is known to possess ample resources.,
156,அண்டமும் பிண்டமும் அந்தரங்கமும் வெளியரங்கமும்.,"Of the universe and the body, the former is hidden, the latter open.",
157,அண்டாத பிடாரி ஆருக்கு அடங்குவாள்?,Whom will the unapproachable demoness obey?The term Pidári is generally applied to a village goddess who is regarded as an evil being.,
158,அண்டை வீட்டுச் சண்டை கண்ணுக்கு குளிர்ச்சி.,A quarrel in a neighbouring house is refreshing.Spoken of envious persons who may be supposed to delight in a neighbour's shortcomings or misfortunes.,
159,அண்டை வீட்டுப் பார்ப்பான் சண்டை மூட்டித் தீர்ப்பான்.,The neighbouring Brahman will breed a quarrel and settle it.Said of one who promotes evil in order that he may gain by it.,
160,அண்டையிற் சமர்த்தன் இல்லாத ராஜாவுக்கு அபகீர்த்தி வரும்.,Disgrace will attach to a king who has not a competent person near him.,
161,அண்ணனார் அரண்மனையில் அள்ளி உண்ணப் போகிறாள்.,She is going to eat rice in her elder brother’s house.,
162,"அண்ணனிடத்தில் ஆறு மாதம் வாழ்ந்தாலும், அண்ணியிடத்தில் அரை நாழிகை வாழலாமா?","Although one may live six months with an elder brother, one cannot abide with his wife even half an hour.The first condition is proverbially difficult, how much more so the second?",
163,"அண்ணனுக்குப் பெண் பிறந்தால், அத்தை அசல் நாட்டாள்.","If my elder brother has a daughter, my paternal aunt becomes an alien.",
164,அண்ணனும் தம்பியும் சென்மப் பகைவர்.,"An elder and younger brother are natural (birth) enemies.They are supposed to be subject to envy, jealousy end hatredon account of the rights they inherit.",
165,"அண்ணனைக் கொன்ற பழி, சந்தையிலே தீர்த்துக்கொள்கிறது போல.","Like taking revenge in the market-place, or in the place where the Vedas are read, on account of an elder brother who has been murdered.",
166,"அண்ணன் பெரியவன், அப்பா நெருப்பு ஊது.","My elder brother is superior, father, blow the fire.Said when an inferior is treated with greater deference than one really entitled to distinction.",
167,அண்ணன் கொம்பு பம்பழ பளாச்சு.,"The horn of my elder brother is as soft (harmless) as a shivered stick.The foxes of a certain region familiar with the hare had, for a long time, an idea that its fine long ears were formidable horns, and therefore kept aloof from it. At length an old fox proposed that they should try to ascertain the nature of the extraordinary excrescences on its head; and suggested that some of their neighbours should be invited to a feast. This was done; and when all things were ready the foxes led their guests into the festive hall and they were seated a fox and a hare alternately, at table. During the feast one of the foxes professing great admiration for the fine horns of their guests, laid his hand upon one and looking round uttered the Proverb. On hearing this, each fox seized and devoured the hare next to him.",
168,அண்ணன் உண்ணாதது எல்லாம் மைத்துனிக்கு லாபம்.,Whatever is left uneaten by my elder brother is an advantage to my sister-in-law.,
169,அண்ணன் தம்பி வேண்டும் இன்னம் தம்பிரானே.,"Elder brother and younger brother are still wanted, O God.",
170,அண்ணாவியார் விழுந்தால் அடைவுமுறை.,"Should a teacher make a slip, it is attributed to his art.",
171,"அண்ணாவி பிள்ளைக்குப் பணம் பஞ்சமா, அம்பட்டன் பிள்ளைக்கு மயிர் பஞ்சமா?",Is the child of an artist (a dancing-master) without money; is the son of a barber in want of hair?,
172,அண்ணாக்கும் தொண்டையும் அதிர அடைத்தது.,It obstructed the throat and the uvula so as to cause them to quake.,
173,அண்ணாமலையார் அருளுண்டானால் மன்னார்சாமி மயிரைப் பிடுங்குமா?,"If the favour of Annámalai (Siva) be obtained, will the god Mannár pull out a hair?Safe as regards an inferior, if protected by a superior.",
174,"அண்ணாமலையாருக்கு அறுபத்துநாலு பூசை, ஆண்டிகளுக்கு எழுபத்துநாலு பூசை.",The forms of worship prescribed for Siva are sixty-four; whereas the seasons for feeding religious mendicants are seventy-four.,
175,அதிக ஆசை அதிக நஷ்டம்.,Excessive desire entails excessive loss.,
176,அதிக ஆசை அஷ்டதரித்திரம்.,Excessive desire or greed ends in eight forms of poverty.The eight forms of poverty are the absence or negation of the eight sources of fruition or enjoyment. These are பெண் women; ஆடை apparel; அணிகலன் jewels; போசனம் food; தாம்பூலம் betel; பரிமளம் perfumes; பாட்டு songs; பூவமளி reclining on flowers.,
177,"அதிகாரியும் தலையாரியும் ஒன்றானால், விடியுமட்டும் திருடலாம்.","If the chief and headman are united, stealing may be carried on till day-break.",
