,proverb,translation
131,അരണയുടെ ബുദ്ധി പോലെ,
132,അരപ്പണത്തിന്റെ പൂച്ച മുക്കാൽ പണത്തിന്റെ നെയ് കുടിച്ചാലൊ,
133,അരവിദ്യ ആശാനേയും കാട്ടരുതു,
134,അരപ്പലം നൂലിന്റെ കുഴക്കു (ചുറ്റുണ്ടു),
135,അരമനരഹസ്യം അങ്ങാടീൽ പരസ്യം,
136,അരമനകാത്താൽ വെറുമനപോകാ,
137,അരപ്പണി ആശാനേയും കാണിക്കരുതു,
138,അരവും അരവും കിന്നരം,
139,അരികത്തുള്ളതിൽ മോഹം ഇല്ലല്ലൊ,
140,അരികെ പോകുമ്പോൾ അരപ്പലം തേഞ്ഞുപോകും,
141,അരി നാഴിക്കും അടുപ്പു മൂന്നു വേണം,
142,അരിമണിയൊന്നു കൊറിക്കാനില്ല തരിവളയിട്ടുകിലുക്കാൻ മോഹം,
143,അരിയിടിച്ചു ആദരവും പൊരിയിടിച്ചു പോതരവും കണ്ടു,
144,അരിയിട്ടും വെച്ചു ഉമിക്കു പിണങ്ങുക,
145,"അരിയും തിന്നു ആശാരിച്ചിയെയും കടിച്ചു,പിന്നെയും നായിന്റെ പല്ലിനുൊറുമൊറുപ്പു (നായിക്കു മുറുമുറുപ്പ്)",
146,അരിയെത്ര പയറഞ്ഞാഴി,
147,അരിയെറിഞ്ഞാൽ ആയിരം കാക്ക,
148,അരി വെച്ചു അടക്കം വെച്ചതിനാൽ അട ചുട്ടതു ആകെ എടുത്തു,
149,അരിശം വിഴുങ്ങിയാൽ അമൃത;ആയിരം (ആയുധം)വിഴുങ്ങിയാൽ ആണല്ല,
150,അരുതാഞ്ഞാൽ ആചാരം ഇല്ല; ഇല്ലാഞ്ഞാൽ ഓശാരവു ഇല്ലം,
151,അരെക്കുമ്പോൾ തികട്ടിയാൽ കുടിക്കുമ്പോൾ ഛർദ്ധിക്കും,
152,അരെക്കൊരു കത്തി പുരെക്കൊരുമുത്തി,
153,അരെച്ചതു കൊണ്ടുപോയി ഇടിക്കരുതു,
154,അരെച്ചുതരുവാൻ പലരുമുണ്ട് കുടിപ്പാൻ താനെയുള്ളു,
155,അർത്ഥം അനർത്ഥം,
156,അർത്ഥമില്ലാത്തവനു(അല്പനു) അർത്ഥം കിട്ടിയാൽ അർദ്ധരാത്രിക്കുംുട പിടിക്കും,
157,അറിഞ്ഞവർക്കു കുറുത്,
158,അറിയാത്തവനു അടുക്കള ആറുകാതം,
159,അറിയാത്തവനു ആനപടൽ,
160,അറിയുന്നൊരൊടു പറയെണ്ടാ: അറിയാത്തോരൊടു പറയരുതു,
161,അറിവില്ലാത്തവന്റെ പോഴത്വം- ( ഭൊഷത്വം ),
162,അറുക്കാൻ ആയിരം കൊടുക്കൂലും പോറ്റാൻ ഒന്നിനെ കൊടുക്കരുതോ?,
163,അറുതിക്കുമീതെ പലിശയില്ല,
164,അറുത്തിട്ട കോഴി പിടയ്ക്കും പോലെ,
165,അറുപതിൽ അത്തും വിത്തും  ; എഴുപതിൽ ഏടാകോടം,
166,"അറെക്കൽ മേനോന്റെ തലേലെഴുത്തു , അമുക്കിച്ചെരച്ചാൽ പോകുമൊ",
167,അറ്റാലടക്കം നാട്ടാർക്ക്,
168,അലക്കുന്നോന്റെ കഴുതപോലെ,
169,അലന്നാൽ അമ്മക്കപരാധിക്കാമൊ,
170,അലപ്പടിക്കുംപൂച്ച കാടിക്കുഴിയിൽ,
171,അല്പകാല സന്തോഷം ദീർഘകാലസന്താപം,
172,അല്പനൈശ്വര്യം വന്നാൽ ( അർത്ഥം കിട്ടിയാൽ ) അർദ്ധരാത്രിുടപിടിക്കും,
173,അല്ലലുള്ള പുലയിക്കു നുള്ളിയുള്ളകാടു പറയണ്ടാ,
174,അല്ലലുള്ള പുലയിയെ ചുള്ളിയുള്ള കാടറിയു,
175,അല്ലാത്തെടത്തിൽ ചെല്ലല്ലു; ചെന്നാല്പിന്നെ പോരല്ലു,
176,അവൻ പത്താൾക്കു ഒരുമെത്ത,
177,അവനവന്റെ താടികാപ്പാൻ വഹ്യാത്തവൻ മറ്റൊരുത്തന്റെ അങ്ങാടിങ്ങനെ കാക്കും,
178,അവനവന്റെ മൂക്കു അവനവനു ചൊവ്വ്,
179,അവന്നു ഒരു പുഴക്ക് ഒരു പത്തൽ,
180,അവനൊ കൂട്ടത്തിൽ ഒരു തലയുറുമ്പു,
181,അവന്റെ വാക്കു പുല്ലെണ്ണപോലെ,
182,അവരെയും അപരാധവും കുറെശ്ശെമതി,
183,അവിചാലിന്റെ മുഖത്തു മരം മുളച്ചു,
184,അശ്വിനിദേവന്മാർ വന്നാൽ സാധിക്കും,
185,"അഷ്ടാംഗഹൃദയഹീനന്മാർ ചികിത്സിക്കും ചികിത്സയിൽ മഞ്ഞൾ എല്ലാംയമ്പായി, കർപ്പുരം കൊടുവേരിയായി",
186,അള(ഏറെ) കുത്തിയാൽ ചേരയും കടിക്കും,
187,"അളന്നചെട്ടിക്കു അളന്നുകൊടു, തൂക്കിയചെട്ടിക്കു തൂക്കികൊടു",
188,അളമുട്ടിയാൽ ചേരയും തിരിയും,
189,അളവുക്കു മിഞ്ചിനാൽ അമൃതവും നഞ്ചാം,
190,അഴകുള്ള ചക്കയിൽ ചുളയില്ല,
191,അഴകിയൊനെക്കണ്ടു അപ്പാ എന്നുവിളിക്കുന്നവൻ,
192,അഴകും ആയുസ്സും ഒത്തുവരുമോ,
193,"അഴുകിയതു അഴുകി, അണ്ടിക്കഞ്ഞിഎന്നുപേരും",
194,അഹമ്മതിക്കുണ്ടൊ ഔഷധമുള്ളു,
195,അഹിംസാ പരമൊധർമ്മം,
196,ആകകുണ്ടയിൽ വാഴകുലക്കയില്ല,
197,ആകാത കാര്യം തുനിയായ്കവെണം,
198,ആകാശം വീഴുമ്പോൾ മുട്ടുകൊടുക്കാറുണ്ടോ,
199,ആകെ മുങ്ങിയാൽ കുളിരില്ല. (ശീതമില്ല),
200,"ആക്രാന്തവാതിൽ തുറ, ആനയെ പ്രാതൽ കഴിക്കട്ടെ",
201,ആഗ്രഹം വർദ്ധിച്ചാൽ അലച്ചിലും വർദ്ധിക്കും,
202,ആച്ചൽ(ച്ചി)നോക്കിയെ കൂച്ചു(ട്ടു)കെട്ടാവു,
203,ആടയുണ്ടെങ്കിലെ കോടയുള്ളു,
204,ആടറിയുമോ അങ്ങാടിവാണിഭം,
205,ആടാചാക്യാർക്കു അണിയൽ പ്രധാനം,
206,ആടുകിടന്നിടത്തു പൂട കാണാതിരിക്കുമോ,
207,ആടുമേഞ്ഞ കാടുപോലെ,
208,ആടൂടാടും കാടാകാ; അരചൻ ഊടാടും നാടാകാ,
209,ആട്ടികൊണ്ടുപോകുമ്പോൾ പിണ്ണാക്കു കൊടുക്കാത്തവൻ വീട്ടിൽ ചെന്നാൽണ്ണകൊടുക്കുമോ,
210,ആട്ടുകേട്ട പന്നിയെപ്പോലെ,
211,ആട്ടുന്നവനെ നെയ് വാൻ ആക്കിയാൽ കാര്യമൊ,
212,ആണായാൽ നാണംവേണം; മീനായാലാണം വേണം,
213,ആണായാൽ നാണംവേണം; മുഖത്തഞ്ചുമീശവേണം,
214,ആണിനും തൂണിനും അടങ്ങാത്തവൾ,
215,ആണില്ലാത്തെടത്തു ആവണക്കുതൂണു്,
216,ആണ്ടബാധ കൊണ്ടേപോകൂ,
217,ആധിതന്നെ വ്യാധി,
218,ആന കടമ്പകടന്നതുപോലെ,
219,ആനകൊടുക്കിലും ആശകൊടുക്കരുതു,
220,ആനക്കാര്യത്തിനിടയിൽ ചേനക്കാര്യം,
221,"ആനക്കു അരക്കോൽ, അരചനുക്കു മുക്കോൽ, അറിവില്ലാ നാരിക്കുറുപത്തിരുക്കോൽ",
222,ആനക്കു കുതിര തെരിക,
223,ആനക്കു കൊമ്പുഘനമൊ,
224,ആനക്കു പന ചക്കര,
225,ആനക്കുമണികെട്ടേണ്ടാ-(ആനക്കുട്ടിക്കെന്തിനുകൊടമണി),
226,ആനക്കൊമ്പും വാഴക്കാമ്പും ശരിയോ,
227,ആനചോരുന്നതു അറിയുകയില്ല; കൊതുചോരുന്നതറിയും,
228,ആനനടത്തവും കുതിരപ്പാച്ചലുംശരി,
229,ആനപെറ്റെങ്കിലെ ആനക്കിടാവു് ഉണ്ടാകു,
230,ആനപ്പുറത്തിരിക്കുമ്പോൾ നായെ പേടിക്കണ്ടാ.,
231,ആനപ്പുറത്തു ഉണ്ണികടിച്ചതുപോലെ.,
232,ആന മെലിഞ്ഞാൽ കൊട്ടിലിൽ കെട്ടുമോ.,
233,ആനയില്ല്ലാതെ ആറാട്ടൊ.,
234,ആനയുടെ പുറത്ത് ആനക്കാരനിരിക്കുമ്പോൾ നായി കുരച്ചാൽ അവൻ എത്രേടിക്കും.,
235,ആനയുടെ യുദ്ധം ഉറുമ്പിനു മരണം,
236,ആനയുടെകയ്യിൽ വടി കൊടുക്കരുതു,
237,ആനയും ആടും പോലെ,
238,ആനയെ കാണ്മാൻ വെള്ളെഴുത്തുണ്ടൊ,
239,ആനയെ തളച്ചാൽ മരത്തിനാണു് കേടു,
240,ആനയെ വിലയാക്കിവിറ്റാൽ കയറിനെന്തുപിശകുന്നു,
241,ആനവായിലമ്പഴങ്ങാപോലെ,
242,ആനയോടും അരചനോടും അഗ്നിയോടും അംഭസ്സോടും കളിക്കരുതു,
243,"ആനക്കെതിരില്ല, ആശക്കതിരില്ല.",
244,ആപത്തുവരുംകാലം ആപത്തെഭവിച്ചീടു,
245,ആപത്തും കാവത്തും കുറേശ്ശെ മതി,
246,ആമമുട്ട പോലെ,
247,ആമാടക്കു പുഴുത്തുള നോക്കുന്നവൻ,
248,"ആയതു നീളം, അറിഞ്ഞതുവീതി",
249,"ആയിരം ആർത്തി, ഒരു മൂർത്തി",
250,ആയിരം ഉപദേശം കാതിലെചെന്നാലും അപശ്ശബ്ദം അല്ലാതെുറപ്പെടുകയില്ല,
251,ആയിരം അമ്പിട്ടക്കത്തികൂട്ടിയാൽ ഒരു മരംവെട്ടുമൊ,
252,ആയിരംകണ്ണുപൊട്ടിച്ചെ അര വൈദ്യനാകു,
253,ആയിരംകാക്കക്കും കല്ലൊന്നുമതി - (പാഷാണമൊന്നേവേണ്ടു),
254,ആയിരംകാതം എടുത്തു അരക്കാതം ഇഴെക്കരുതു,
255,ആയിരംകാര്യക്കാരെ കാണുന്നതിനെക്കാൾ ഒരു രാജാവെകാണുന്നതുല്ലതു,
256,ആയിരം കുഞ്ഞിനെ കുഴിക്കുകൊടുത്താലും ഒരു കുഞ്ഞിനെ വളർത്തുവാൻൊടുക്കുമൊ,
257,"ആയിരംകുടത്തിന്റെ വാകെട്ടാം, ഒരാളിന്റെ വാകെട്ടാൻ വഹിയാ",
258,ആയിരം കുറുന്തോട്ടികുടിച്ചാൽ അയലറിയാതെപെറും,
259,ആയിരം കോഴിക്കു അരക്കാട,
260,ആയിരം തെങ്ങുള്ള നായർക്കു പല്ലുകുത്താൻ ഈർക്കിലില്ല,
261,ആയിരംതൊഴയ്ക്ക് അരക്കഴുക്കോൽ,
262,"ആയിരം പഴഞ്ചൊൽ ആയുസ്സിനുകേടല്ല, ആയിരം പ്രാക്കൽയുസ്സിനുകേടു",
263,ആയിരം പണമ്പോയാലും വേണ്ടതില്ല മനസ്സിന്റെ തിടു തിടുക്കംീർന്നല്ലോ,
264,"ആയിരം പുത്തിക്കു നെഞ്ചിനുപാറ, നൂറുപുത്തിക്കു ഈർക്കിലും കോക്കിലി,കപുത്തിക്കുതിത്തികമമ്മാ",
265,ആയിരം നാഴികവഴിക്കും അടിയൊന്നാരംഭം,
266,ആയിരംമാകാണി അറംപത്തിരണ്ടര- 26 ]277 ആയിരം മാങ്ങക്ക് അരപ്പൂള് തേങ്ങാ.,
267,ആയിരം വാക്ക് അരപ്പലം (കാണി) തൂങ്ങാ.,
268,ആയിരം വേനൽക്കു അരകോടൽ.,
269,ആയെങ്കിൽ ആയിരം തെങ്ങു (തേങ്ങാ); പോയെങ്കിൽ ആയിരംേങ്ങാ(തൊണ്ട്).,
270,ആയെങ്കിൽ ഒരു തോക്ക്; പോയെങ്കിൽ ഒരു വാക്ക്.,
271,ആരാച്ചാരുടെ നോട്ടം പോലെ.,
272,"ആരാൻമാരാൻ ചക്കകട്ടിട്ടു, ശങ്കരന്റെ കുണ്ടിക്ക് വെളഞ്ഞില്.",
273,ആരാനെ ആറ്റാണ്ടു പോറ്റിയാലും ആരാൻ ആരാൻ തന്നെ.,
274,ആരാന്റെ അപരാധം വാരിയന്റെ ഊരമേൽ.,
275,ആരാന്റെ അപരാധത്തിനു വാരിയന്റെ പുരമകൾ എടുത്തു.,
276,ആരാന്റെ കണ്ണേ നമ്മുടെ കുറ്റം കാണൂ.,
277,ആരാന്റെ കുട്ടിയെ ആയിരം മുത്തിയാലും ഒന്നു പൊത്തിക്കൂടാ.,
278,ആരാന്റെ പല്ലിനെക്കാൾ തന്റെ ഊനു(നൊണ്ണു) നല്ലത്.,
279,ആരാന്റെ തലയ്ക്കു ഭ്രാന്ത് പിടിച്ചാൽ കാണുന്ന തലക്ക് നല്ല ചേല്.,
280,ആരാന്റെയുംവയറ്റിലെ അമേഭ്യംകണ്ടുംകൊണ്ടു നായെവളർത്തുന്നവൻ,
281,ആരാന്റെയുംവീട്ടിൽ അമ്മാച്ചൻ കറതീരരുത്,
282,ആരാന്റെയും മുതലിനു ആവൊളം പിണങ്ങിയാൽ ആറിലൊന്നുകിട്ടിയെന്നുംവരാം,
283,ആരാന്റെ ശകുനം പിഴപ്പിക്കാൻ തന്റെ മൂക്കുമുറിച്ചുകളക,
284,ആരായാലും അമ്പട്ടന്റെ മുമ്പിൽ തലകുനിക്കും,
285,ആരിയൻ നെല്ലിന്റെ ഓല മൂത്താലെ ഉണങ്ങു കങ്കമ്പുണ്ണ,
286,ആരിയൻ വെച്ച ആറ്റിൽ ചാടി,
287,ആരിഹ ഐന്തലനാഗത്തൊടു കളിക്കുന്നു,
288,ആരുമകൻ പല്ലക്കേറിയാലും എന്മകൻ ചുമക്കണം,
289,ആരുമില്ലാഞ്ഞാൽ പട്ടർ; ഏതുമില്ലാഞ്ഞാൽ താൻ,
290,ആറിയ കഞ്ഞി പഴങ്കഞ്ഞി,
291,ആറുകർണ്ണങ്ങൾ പുക്കാൽ മന്ത്രവും ഭേദിച്ചീടും,
292,ആറുകവിഞ്ഞെ തോട്ടിൽ പായ്യൂ,
293,ആറുചാത്തം ഉണ്ടവനെ ആനത്തുടലിട്ടു പൂട്ടിയാലൂം നിൽക്കയില്ല,
294,ആറുനാട്ടിൽ നൂറുഭാഷ,
295,ആറുനീന്തിയവനെ ആഴമറിയൂ,
296,ആറുനൂറുകടക്കിലും കോണകമൊന്നുമതി,
297,ആറുമാസം ചെന്ന ചേന ആറിതിന്നാൻ പാടില്ലെ,
298,ആറ്റരികിൽ കളഞ്ഞാലും (തൂകുവിലും) അളന്നുകളയണം (തൂകണം),
299,ആർക്കാനിരുമ്പിടിക്കും അവനവനു തവിടിടിക്കയില്ല,
300,ആർക്കാനും കൊടുക്കുമ്പോൾ അരുതെന്ന് വിലക്കരുത്,
301,ആർക്കാനും കൊടുത്ത വസ്ത്രത്തിനീടേറും,
302,ആർക്കാനും വേണ്ടീട്ടോക്കാനിക്ക,
303,ആലത്തുരലും വീട്ടിഉലക്കയും ചീനത്തമ്മിയും വീട്ടിൽഒരുത്തിയും,
304,ആലസ്യമെന്നുമേ ആപത്തുകാരണം,
305,ആലി നാഗപുരത്ത് പോയപോലെ,
306,ആലുങ്കാ പഴുക്കുമ്പോൾ കാക്കയ്ക് വായ്പുണ്ൺ,
307,ആലുവായിൽ നിന്നു തഴവായിൽ പുക്കപിന്നെ ചട്ടുകവും ഉരുളിയും ഞാൻ കണ്ടിട്ടില്ല,
