	proverb	translation
84	అప్పు దొరికితే పప్పుకూడు.	If I could raise a loan, [I should be able to live on] dal and rice.An excuse made by a host for treating his guest with poor fare.
85	అప్పు మొప్పు.	Debt is misfortune.Debt is the worst poverty.
86	అప్పు యిచ్చినవాడు బాగుకోరును, తీసుకొన్నవాడు చెడగోరును.	Your creditor will wish you well, your debtor will wish you ill.He that doth lend doth lose his friend.Money lent, an enemy made. (Portuguese) ​
87	అప్పు లేకపోతే వుప్పుగంజే మేలు.	Rice water and salt without debt are good.Without debt. without care. (Italian)He is rich enough who owe: nothing. (French)
88	అప్పులేని గంజి దొప్పెడే చాలును.	A cupful of rice water without debt is enough.Out of debt, out of danger.Happy is he who owes nothing. (Greek)
89	అబద్ధాలకు అర్థములేదు.	No meaning can be given to erroneous expressions.Applied to discrepancies in a statement.
90	అబద్ధాల పంచాఅంగముకు అరవైగడియలు త్యాజ్యము.	A bad almanack makes all the hours of the day unpropitious.Applied to unreasonable objections.There are 60 Gadiyas in a day ; a Gadiya therefore equals 24 minutes.
91	అబ్బిగాడు చస్తే ఆ పంచె నాది.	If the boy dies, that cloth is mine.Want of feeling.
92	అబ్బితే శిగ, అబ్బకపోతే కాళ్లు.	If possible, [ he seizes ] the tuft; if not, the feet.Applied to a base fellow who tries to ruin others, and, when he fails, cringes at their feet.Anoint a villain and he will prick you, prick a villain and he will anoint you. (French) ​
93	అబ్బురాన బిడ్డ పుట్టెను, గడ్డపార తేరా చెవులు కుట్టుతాను.	The long desired child has been born, fetch a crow-bar and I will bore its ears.Ridiculing unusual and extraordinary care being taken of any thing not worthy of it.
94	అభ్యాసము కూసువిద్య.	Practice [makes] art easy.Practice makes perfect.Custom makes all things easy.
95	అభ్యాసము లేని రెడ్డి అందలమెక్కితే అటూ యిటూ అయినదట.	When the unpractised Reddi got into a palankin, it swung from side to side.
96	అమర్చినదాంట్లో అత్తగారు వేలు పెట్టినది.	The mother-in-law put her ﬁnger in every dish prepared [by the daughter-in-law ].No work and all the credit.One man knocks in the nail, and another hangs his hat on it. (German)
97	అమావాస్య ప్రొద్దుకు వంగలు కాచునా.	Will the new-moon bring out the brinjals ?Vanga (called by Europeans "brinjal") is the Solanam Melongena.
98	అమ్మగా మిగిలిన మేక.	The only goat remaining unsold.A wretched fate. ​
99	.	అమ్మ గృహప్రవేశము, అయ్య శ్మశానప్రవేశము.The bride enters her husband’s house, and the bridegroom enters the tomb.Regarding Grihapravésa ("house-entering").Applied to a great calamity happening when most unlooked for. Also to a luckless woman.After a dream of a wedding comes a corpse.
100	అమ్మ చెడ్డ చేటుకు ముసుకు వకటా.	Is this miserable wretched woman to wear a veil ?
101	అమ్మ తానూ పెట్టదు, తిరుచుకొనీ తిననివ్వదు.	The mother neither gives food herself [to her child,] nor allows it to beg.
102	అమ్మదగ్గిర కింద పడుకొన్నా వకటే, అబ్బదగ్గిర నేల పడుకొన్నా వకటే.	It is all one whether [the child] sleep on the ground with its mother, or on the ﬂoor with its father.Equally bad.Where ball is the best, naught must be the choice.Whatever way you take there is a league of bad road. (Spanish)
103	అమ్మ పెట్టేవి నాలుగూ అప్పుడే పెట్టితే చెయ్యనా.	If you had beaten me as my mother used to do, would I not have done [the work]?Said by a daughter-in-law to her mother-in-law.Applied to a. person with whom mild measures are of no avail, with whomThere is no argument like that of the stick. (Spanish)
104	అమ్మబోతే అడివి, కొనబోతే కొరివి.	When he went to sell, his bargains were [as ruinous as] a jungle; when he went to buy [his purchases were as bad as] ﬁrebrands.Losing on both sides.Buy and sell and live by the loss.
105	అయితంపూడి వుద్యోగము అయితే గియితే, ఆరావుల పాడిచేస్తే గీస్తే, పెరుగూ పాలూ మీవారికి పోస్తావా మావారికి పోస్తావా.	“Were I to be employed in Aithampﬁdi, and possess six milch cows, would you supply milk and curds to your relations or to mine ?"The story is, that the wife being asked this foolish question by her husband answered "to my people," on which she was beaten.
106	అయితే అతడి ఆలాయె, కాకపోతే దాసురాలాయె.	“If We succeed, she shall be his wife; if not, she shall be a recluse.”Said by the parents of a girl, who had set their hearts upon getting her married to a certain man.Either Caesar or nobody. (latin)
107	అయితే ఆరుగ, కాకుంటే కంది.	If the Aruga fails, we shall have Kandi.These are both sown together. The Âruga crop sometimes perishes.To have two strings to one's bow.Good riding at two anchors men have told; For if one break, the other may hold.
108	అయినవారందరు ఆ దోవను పోగా, జంగాన్ని పట్టుకొని జాము యేడ్చినాడు.	When all his friends went away, he caught hold of a Jangam and cried for three hours.Taking an unconcerned person into your counsels.Jamu is a watch of three hours, the day from sunrise to sunset being divided into four Jamus.
109	అయ్యకు రెండో పెండ్లి అని సంతోషమేకాని, అమ్మకు సవితిపోరు అని యెరగడు.	[The son] is glad that his father has taken a second wife, but he little knows what quarrels there will be between her and his mother.
110	అయ్యకు విద్యా లేదు, అమ్మకు గర్వమూ లేదు.	When the husband has no learning, the wife has no pride.
111	అయ్య దాసండ్లకు పెట్టితే, అమ్మ జంగాలకు పెట్టినది.	When the master fed the Dasaris (devotees of Vishnu), the mistress fed the Jangams (devotees of Siva ).Applied to a spirit of contradiction.
112	అయ్యనీటు అడిగితీరదు, అమ్మ దమ్మయపాలెంలో దంచుకొని తాగుతున్నది.	The foppish husband gives himself great airs, while his wife is living by pounding rice in Dammayapalem.
113	అయ్య రాకుంటే అమావాస్య అట్టె వుంటుందా.	If the priest does not come, will the new moon wait for him ?Time and tide wait for no man.
114	అయ్య వాతబెట్టనూ బర్రె బ్రతకనా.	When his lordship brands the buffalo, will she get over it ?Said of a clumsy fellow, who makes a mess of every thing.I meant to cross myself and put out one of my eyes. (Portuguese.)
115	అయ్యవారిని చెయ్యబోతే కోతి అయినది.	His attempt to make [an image of] Ganésa ended in [the moulding of] a monkey.Mud images of Ganésa are made and worshipped on the 4th day of the light fortnight in the month Bhadrapada (August-September ).A ridiculous failure.
116	అయ్యవారు అటికంత, అయ్యవారి పెండ్లాము పుటికంత.	The Brahman is like a small pot, and his wife is like a basket.Spoken of things which do not match.
117	అయ్య సవాశేరు, లింగము అరవీశెడు.	The man [weighs] a seer and a quarter, the lingam [round his neck ] two and a half.
118	అరచేత వెన్నపెట్టుకొని నేతికి యేడ్చినట్టు.	Like a man with butter in the palm of his hand, calling out for ghi.
119	అరచేతి రేగుబంటికి అద్దము కావలెనా.	Do you require a glass to look at a berry in the palm of your hand ?The berry spoken of is the fruit of the Zizyphns Jujuba.As clear as crystal.As plain as a pike-staff.
120	అరచేతిలో వుప్పు పెట్టితే ఆరునెలలు తలుచుకోవలెను.	If he puts a little salt in the palm of your hand, you should think of it for six months.The duty of gratitude.
121	అరచేతిలో వైకుంఠము చూపుతాడు.	He offers heaven in the palm of his hand.Deceiving by false hopes.
122	అరణ్య రోదనము.	Lamentations in the jungle.Of no avail.
123	అరవ యేడుపు.	Like a Tamil mourning.Among the Tamilians, women are sometimes hired to mourn over a deceased person.Applied to an unwilling performance of any duty.
124	అరవై యేండ్లయితే అరులు మరులు.	When sixty years have passed, dotage.
125	అరవై యేండ్లయిన తర్వాత అమ్మా అన్నాడట.	After sixty years had passed, he cried Amma. (mother).Second childhood.Old men are twice children. (Latin)
126	అరవై యేండ్లయినవి, చదువుకోకుండా మొత్తుకొంచానా అన్నాడట.	Sixty years have passed; am I to do without learning ?An ironical speech.An old dog will learn no tricks.
127	అరవై వరహాలు యిచ్చినా అత్తవంటి బానిసె దొరకదు.	Although you pay sixty Pagodas, you cannot obtain as good a handmaid as your mother-in-law.Said jokingly of a mother-in-law not allowed to have the management of the house, but kept in subjection to her daughter-in-law.
128	అరిచే కుక్క కరవ నేరదు.	A barking dog never bites.Great barkers are nae biters. (Scotch)A barking cur does not bite. (Italian)
129	అరిటాకు వచ్చి ముంటిమీద పడ్డా అరిటాకుదే కష్టము, ముల్లు వచ్చి అరిటాకుమీద పడ్డా అరిటాకుదే కష్టము.	The plantain leaf alike suffers, whether it falls on the thorn, or the thorn falls on it.
130	అరిటిపండు వలిచి చేత వుంచినట్టు.	Like placing peeled plantain in one’s hand.Applied to any thing made perfectly easy.
131	అరుంధతీ కనబడదు, అధ్వాన్నమూ కనపడదు, అరవై వరహాల అప్పు మాత్రము కనపడుతున్నది.	I can’t see the star Arundhati, botheration take it! I can see nothing but a debt of sixty pagodas.Said by a man who had got over head and ears in debt for his marriage, when the priest pointed out the propitious star.
132	అర్తి దుఃఖం ఆరునెలలు, కడుపు దుఖం కలకాలం.	The grief of the neck [lasts] six months; the grief of the womb, for ever.The " grief of the neck " signiﬁes widowhood, when the marriage cord is broken. The “grief of the womb" signiﬁes the loss of a child.
133	అర్థమూ ప్రాణమూ ఆచార్యాధీనము, తాళమూ దేహమూ నా ఆధీనము.	The money [in the box] and the soul [Within the body] are made over to the spiritual guide, but the key and the body are retained by me.Applied to giving a person only the form of‘ authority, but no real power.
134	అలవాటులేని ఔపాసనం చెయ్యబోతే మీసాలన్నీ తెగకాలినవి.	The man unaccustomed to burnt-offerings burnt off his mustaches in the attempt.
135	అలివిగాని ఆలిని కట్టుకొని మురిగిచచ్చెరా ముండా కొడుకు.	The miserable fellow is ruined by his wretched marriage.The folly of being headstrong.Merry in haste and repent at leisure.
136	అల్పునకు ఐశ్వర్యం వస్తే, అర్ధరాత్రివేళ గొడుగు తెమ్మన్నాడట.	When fortune smiled on a mean person, he ordered an umbrella to be brought at midnight.An umbrella is a sign of rank and authority.Set a beggar on horseback, he’ll ride to the devil.There is no pride like that of a beggar grown rich. (French)
137	అల్లి అడిగినది, యిల్లి యిచ్చినది, మల్లి మాయము చేశినది.	Alli asked for it, Illi gave it, Malli made away with it.
138	అల్లుడలిగితే కూతురిని తీసుకొని పోతాడు.	If the son-in-law gets in a huff, he will [only] take away the daughter.Said by a fat-her-in-law or mother-in-law.
139	అల్లుడికి నెయ్యీలేదు, అల్లుడితోటికూడా వచ్చినవారికి నూనే లేదు.	There is neither ghi for the son-in-l aw, nor oil for his friends.Said of inability in ‘a person to do that which his duty imperatively requires of him.
140	అల్లుడికి వండిన అన్నము కొడుకుకు పెట్టి కొట్టుకొన్నదట.	She grudgingly gave to her son the food prepared for her son-in—law.The affection of a mother-in-law for her son-in-law.
141	అల్లులలో మల్లు పెద్ద.	Mallu is a great man among the weavers.Great among low people.Among the common people Scoggin is a doctor.
142	అవలక్షణము గలవానికి అక్షతలు యిస్తే, అవతలికి పోయి నోట్లో వేసుకొన్నాడట.	When sacred grain was given to a luckless fellow, he went away and ate it up (instead of placing it on his head).The term Avalakshana is applied to a man who bears unlucky marks on his person, or whose manners are inauspicious.
143	అవసరగానికి ఆకులో పెట్టు, నాకు నేలను పెట్టు.	Give the man who is in a hurry his food on a leaf, but give me mine on the ﬂoor.The food of Hindus is ordinarily served on a large leaf or several small leaves sewn together.Applied to a person wishing to have something done for himself in great haste, before others are attended to.
144	అవివేకితో స్నేహముకన్నా వివేకితో విరోధము మేలు.	Enmity with a wise man is better than friendship with a fool.
145	అవ్వను పట్టుకొని వసంతాలాడినట్టు.	Like playing games with your grand-mother.Lit. "Throwing scarlet water over her,” a sport among young people at marriages, &c.Disrespectful and unseemly conduct towards elderly people.
146	అవ్వ వడికిన నూలు తాత మొలతాటికి సరి.	The thread spun by the grand-mother is only suﬁicient for the waist cord of the grand-father.Waste of that gained by another’s industry.
147	అవ్వా కావలెను, బువ్వా కావలెను.	I want grand-mother and I want food.Said by a child who did not wish to leave its grand-mother, but who had to do so to get its dinner.You cannot drink and whistle at the same time. (Danish)
148	అశుద్ధముమీద రాయివేస్తే ముఖాన పడుతుంది.	If you throw a stone into ﬁlth, it will ﬂy into your face.If you will stir up the mire, you must bear the smell”. (Danish)Meddle with dirt, and some of it will stick to you. (Dutch.)
149	అశ్రద్ధపితాళ్లకు యేతాం తర్పణము.	The water drawn with the Picota is the drink offering of dis regarded ancestors.Tarpana is a drink offering to the manes of deceased ancestors (Pitris.).An irreverent'fellow, when pressed by his friends to perform the ceremony, offered the water he was drawing for other purposes.An unwilling action, done to satisfy others.
150	అసలు సోమిదేవమ్మ, అందులో వేవిళ్లు.	She is not only the wife of a priest, but is also in an interesting condition.A double excuse. Applied to idle persons.Sick of the idles.A large sheep thinks its wool heavy.
151	అ అంటే అపశబ్దము, నారాయణా అంటే బూతుమాట.	If I say “ A” (yes), it’s Wrong; if I say “Narayana,”. it’s obsceneFaults are thick where love is thin. (Welsh.)
152	ఆకలి ఆకాశమంత, గొంతుక సూది బెజ్జమంత.	The appetite is as great as the sky, but the throat is as small as the eye of a needle.Applied to great ambition, but small abilities. ​
153	ఆకలి కాని భోజనము, ఆలి మీద లంజరికము.	Eating when the appetite is satisﬁed; unfaithfulness to a wifeBoth bad.
154	ఆకలిగొన్న కరణము పాతకవిలె తీశినాడు.	The hungry Karanam looked into his old accounts.A Karanaam is a village accountant.
